time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
4.41,0.228455,0.869153,0.322044,0.375417,0.56979,0.712761,
4.415,0.639881,0.339341,0.15294,0.498018,0.638406,0.916485,
4.42,0.906231,0.4498,1,0.354186,0.0360145,0.251611,
4.425,0.374416,0.708052,0.370313,0.276937,0.637158,0.684773,
4.43,0.28098,0.739335,0.177893,0.400166,0.680814,0.839216,
4.435,0.468077,0.653765,0.435888,0.361625,0.50171,0.651415,
4.44,0.618097,0.446904,0.430494,0.200683,0.680386,0.662223,
4.445,0.565693,0.432812,0.137121,0.581596,0.562879,0.92649,
4.45,0.469352,0.583349,0.275539,0.432656,0.576753,0.788094,
4.455,0.26861,0.759061,0.156288,0.481174,0.61867,0.862074,
4.46,0.517536,0.572194,0.376358,0.388873,0.533112,0.708862,
4.465,0.682127,0.575976,0.825741,0.176982,0.350769,0.347349,
4.47,0.336009,0.692377,0.206068,0.403905,0.65646,0.824072,
4.475,0.720607,0.338242,0.430312,0.237949,0.652683,0.679453,
4.48,0.44357,0.550527,0.19877,0.327943,0.748413,0.83803,
4.485,0.36331,0.706411,0.275789,0.444802,0.554875,0.774589,
4.49,0.55097,0.520044,0.48203,0.0574498,0.770164,0.598858,
4.495,0.587744,0.449396,0.320293,0.323154,0.655798,0.758295,
4.5,0.437067,0.564805,0.131625,0.528345,0.609292,0.908979,
4.505,0.467863,0.52366,0.172481,0.396928,0.705798,0.868628,
4.51,0.720809,0.316809,0.359089,0.314505,0.641166,0.744003,
4.515,0.291799,0.820165,0.407617,0.271268,0.601473,0.642769,
4.52,0.285025,0.683183,0.037619,0.504074,0.705133,0.962758,
4.525,0.41035,0.665445,0.334378,0.357952,0.59237,0.725835,
4.53,0.554282,0.474302,0.327868,0.241836,0.726869,0.740607,
4.535,0.472546,0.587613,0.316602,0.367839,0.604277,0.749556,
4.54,0.708676,0.405628,0.479348,0.372487,0.473103,0.649558,
4.545,0.647595,0.417824,0.399176,0.299874,0.612724,0.700235,
4.55,0.279901,0.663917,0.0180361,0.433246,0.79297,0.971906,
4.555,0.505392,0.57326,0.344938,0.406581,0.542925,0.734294,
4.56,0.39419,0.659401,0.278107,0.381981,0.6181,0.771477,
4.565,0.392137,0.680102,0.311604,0.386057,0.583431,0.74431,
4.57,0.413149,0.629902,0.190641,0.562155,0.519872,0.86066,
4.575,0.612619,0.428432,0.290009,0.433431,0.575751,0.795778,
4.58,0.335776,0.623506,0.0492109,0.465343,0.737738,0.956874,
4.585,0.509248,0.555548,0.296335,0.46423,0.530024,0.779298,
4.59,0.547846,0.511173,0.328649,0.380949,0.587069,0.751077,
