time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,knee_adduction_r,knee_adduction_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,knee_adduction_l,knee_adduction_l_id,ankle_angle_l,ankle_angle_l_id,
0.38,3.14549,-0.452314,5.83341,5.28245,-6.10129,-2.9114,7.861,0.598619,-1.73347,-2.39097,-4.51084,-11.6554,10.3099,-1.86633,13.014,18.8814,-7.62432,-3.09183,-3.98745,-15.7494,0.146696,15.0368,-17.0705,-28.2596,
0.385,3.15522,-0.577781,6.21988,5.25734,-6.14717,-2.90093,8.49413,0.527267,-1.59088,-2.47692,-4.49864,-11.6072,10.053,-2.02497,13.5127,19.0372,-7.72766,-3.10116,-4.04597,-15.8632,0.0900526,15.0449,-17.0943,-28.1998,
0.39,2.7939,-0.708437,6.30624,5.23038,-6.01823,-2.89193,8.90486,0.451663,-1.52296,-2.57314,-4.66992,-11.5668,9.17823,-2.19403,13.5973,19.2306,-7.5646,-3.10768,-4.06956,-15.995,0.0719135,15.0634,-17.0522,-28.158,
0.395,2.6279,-0.830345,6.67577,5.21948,-6.07153,-2.88415,9.02545,0.373633,-1.47901,-2.66033,-4.83489,-11.5345,8.88239,-2.35139,14.1991,19.4325,-7.657,-3.11498,-4.06103,-16.1192,0.0913365,15.0838,-17.0181,-28.1157,
0.4,2.32354,-0.942019,6.79087,5.23285,-5.91362,-2.87691,9.22429,0.291224,-1.40223,-2.72887,-4.9215,-11.5115,8.2141,-2.48593,14.4115,19.6122,-7.53574,-3.12874,-4.00485,-16.2171,0.15304,15.0993,-16.9501,-28.0601,
0.405,2.06405,-1.05861,6.82319,5.27336,-5.78043,-2.86906,8.95547,0.196794,-1.33599,-2.78018,-4.87701,-11.4994,7.84213,-2.60709,14.656,19.7613,-7.45299,-3.1504,-3.90972,-16.2895,0.251514,15.1058,-16.8928,-27.9898,
0.41,1.98498,-1.17465,6.89875,5.33078,-5.69344,-2.86268,8.86237,0.101116,-1.25799,-2.82367,-4.82907,-11.4869,7.56346,-2.72482,15.0151,19.8663,-7.41052,-3.17195,-3.77892,-16.3367,0.37911,15.0942,-16.8402,-27.9068,
0.415,1.93011,-1.28406,6.94333,5.37911,-5.60754,-2.85558,8.55185,0.0195114,-1.2142,-2.87672,-4.75633,-11.4615,7.31666,-2.83092,15.2499,19.9241,-7.351,-3.18651,-3.62184,-16.3574,0.528965,15.0666,-16.7815,-27.8188,
0.42,1.95504,-1.39151,7.01322,5.41439,-5.50924,-2.8432,8.07341,-0.0490064,-1.22323,-2.94048,-4.73264,-11.4232,7.05031,-2.91079,15.3308,19.9344,-7.23944,-3.19499,-3.44698,-16.3482,0.69095,15.0305,-16.7116,-27.7316,
0.425,1.78678,-1.5027,6.91683,5.43645,-5.37767,-2.82579,7.48034,-0.113412,-1.24846,-3.01072,-4.70334,-11.3824,6.46863,-2.97434,15.1127,19.9088,-7.03186,-3.19758,-3.26569,-16.3215,0.856011,14.9891,-16.6157,-27.6553,
0.43,1.39261,-1.62333,6.63879,5.44498,-5.19577,-2.80578,6.82624,-0.182077,-1.28137,-3.0855,-4.65598,-11.3492,5.70264,-3.02991,14.6124,19.8719,-6.74711,-3.19682,-3.0872,-16.2929,1.01736,14.9491,-16.499,-27.5989,
0.435,0.845801,-1.75589,6.25643,5.43457,-4.98661,-2.78469,6.13958,-0.258935,-1.33119,-3.16562,-4.58468,-11.3302,5.0893,-3.07823,14.0424,19.8273,-6.49603,-3.19556,-2.92144,-16.2649,1.16867,14.9093,-16.3763,-27.5601,
0.44,0.472954,-1.89296,5.97617,5.38876,-4.85213,-2.76273,5.4652,-0.337571,-1.39107,-3.2557,-4.55618,-11.3273,4.8672,-3.13191,13.5231,19.7756,-6.3162,-3.19525,-2.77394,-16.2416,1.3057,14.8651,-16.2803,-27.5323,
0.445,0.481412,-2.02058,6.15527,5.30461,-4.93032,-2.73833,4.80006,-0.410688,-1.52222,-3.3527,-4.72576,-11.3422,5.15687,-3.19647,13.3194,19.7288,-6.3105,-3.19576,-2.64937,-16.2289,1.42496,14.819,-16.1994,-27.5123,
0.45,0.444183,-2.12333,6.04519,5.18993,-4.61778,-2.71384,4.26085,-0.468917,-1.60682,-3.45222,-4.75217,-11.3667,4.26323,-3.25863,12.1294,19.6886,-5.72498,-3.19911,-2.5492,-16.2225,1.52482,14.7789,-16.0465,-27.4996,
0.455,0.400423,-2.19174,5.93139,5.06239,-4.43494,-2.69113,3.93095,-0.509506,-1.63373,-3.5436,-4.72181,-11.396,3.85611,-3.30715,11.3677,19.6508,-5.3375,-3.2036,-2.47458,-16.2176,1.60442,14.7478,-15.9371,-27.4967,
0.46,0.482995,-2.23518,5.95527,4.9487,-4.34631,-2.66945,3.68547,-0.547318,-1.66192,-3.61751,-4.72773,-11.441,3.89385,-3.34023,10.8683,19.61,-5.10018,-3.2042,-2.41852,-16.2112,1.66623,14.7215,-15.8618,-27.5027,
0.465,0.169132,-2.25262,5.79709,4.85476,-4.3472,-2.65091,3.56928,-0.58311,-1.62188,-3.67288,-4.64807,-11.5003,4.42495,-3.35993,10.745,19.568,-5.13657,-3.19633,-2.37563,-16.2035,1.71187,14.6971,-15.8449,-27.5153,
0.47,-0.0840211,-2.23393,5.82045,4.77317,-4.4593,-2.63896,3.77909,-0.607402,-1.54267,-3.70972,-4.60358,-11.5642,5.25296,-3.38022,10.9555,19.5334,-5.35625,-3.18161,-2.34968,-16.2021,1.74221,14.6727,-15.8859,-27.5318,
