name,r,a,s
tibia_r_epiph_yellow_anterior_plate,-36.12776035629203,419.15202957269776,80.58408325755737
tibia_r_epiph_yellow_patel_tend_point,-26.689139270345276,382.4432830996351,76.99412406969785
tibia_r_epiph_green_medial_lower_epiph,-55.62492149507359,386.3599540950522,60.99982060215182
tibia_l_epiph_yellow_posteriormost,-80.2442814707686,409.3611525783302,-80.584723562162
tibia_l_epiph_yellow_anterior_plate,-36.12779233008531,419.1519487916086,-80.58408323004004
tibia_l_epiph_yellow_patel_tend_point,-26.689139449331776,382.4432829984019,-76.99412402853149
tibia_l_epiph_green_medial_lower_epiph,-55.62492167687596,386.3599540920523,-60.999820590135016
tibia_r_ankle_yellow_anter,-40.10760923066283,75.44395094918183,78.26116999192254
tibia_l_ankle_yellow_anter,-40.107694188842125,75.44395495804346,-75.72649143717848
torso_origin_in_pelvis,-100.7,1011.499999097643,0.0
fibula_r_lat_malleol_tip,-72.17084940387366,39.3595192598743,99.00035041800281
fibula_l_lat_malleol_tip,-72.17080579088355,39.359742222818575,-99.00030951518096
tibia_r_med_malleol_tip,-49.8696004772287,51.53982527076651,58.27329973737666
tibia_l_med_malleol_tip,-49.86959786446265,51.53947054039498,-58.27333827838195
pub_super_c,0.0,849.553199097643,0.0
ls_troch_r,-83.31499987093909,796.1677990459216,86.71148006637152
ls_troch_l,-83.31503730916366,796.1678400356717,-86.7114843120261
femur_r_poster_diaph_25,-72.27599976679474,751.5099991107004,119.26000011992932
femur_l_poster_diaph_25,-72.27599976679474,751.5099991107004,-119.26000011992932
femur_r_poster_diaph_75,-46.27599930038425,551.5099991389528,92.26000035978795
femur_l_poster_diaph_75,-46.27599930038425,551.5099991389528,-92.26000035978795
tibia_r_anter_diaph_25,-28.24123209199936,345.44334384213084,87.44208784135975
tibia_l_anter_diaph_25,-28.241232382544485,345.44334374479536,-87.44218779777103
tibia_r_anter_diaph_75,-35.36876567155994,145.44370429860504,84.52081323846167
tibia_l_anter_diaph_75,-35.368766633326516,145.44370422548576,-84.52083318052588
fibula_r_anter_diaph_75,-64.09314482405435,145.44511494945252,99.59660035509843
fibula_l_anter_diaph_75,-62.50603906062556,145.4450356880989,-99.59657672474353
femur_r_anter_diaph_25,-44.48840934232979,750.6489991683492,113.29540012096192
femur_l_anter_diaph_25,-44.488399764786855,750.6489991742436,-118.21034216844954
gr_troch_ps_r,-89.13999999865929,850.9350990635833,112.76500000068948
gr_troch_ps_l,-89.13999999865929,850.9350990635833,-112.76500000068948
sacroiliac_r,-120.55293435385383,939.2442281445988,36.66608738211169
sacroiliac_l,-120.553,939.2442290976429,-36.6661
5th_sacr_v,-130.95161324748227,868.2541209911825,0.0
femur_r_anter_diaph_75,-22.70259930038425,551.5099991939272,92.26000035978795
femur_l_anter_diaph_75,-22.70259930038425,551.5099991939272,-92.26000035978795
AIIS_r,-24.0,890.9999990976429,93.0
AIIS_l,-24.0,890.9999990976429,-93.0
femur_neck_center_r,-62.07869996302997,835.6569991106498,99.38900001901241
femur_neck_center_l,-62.0786557302296,835.6572631918501,-99.38900001901209
femur_shaft_center_r,-70.42789371152939,797.0571480855662,114.78273482666623
femur_shaft_center_l,-70.42789987301299,797.0570991096406,-114.78270006530498
